chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant
59921.0,0,0,0.353125,0.134375,0.625,0.0,4,"{'NEURO': {'n_tested': 7, 'n_positive': 0, 'score': 0.0625}, 'GENERAL': {'n_tested': 9, 'n_positive': 3, 'score': 0.35}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1
60965.0,0,0,0.32386363636363635,0.1477272727272727,0.5,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 2, 'score': 0.5}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1
62599.0,0,0,0.17500000000000002,0.125,0.25,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
59834.0,0,0,0.21875,0.18749999999999997,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 11, 'n_positive': 2, 'score': 0.20833333333333334}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,2
315130.0,0,0,0.36979166666666663,0.20312499999999997,0.625,0.0,4,"{'NEURO': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 7, 'n_positive': 2, 'score': 0.3125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,2
74616.0,0,0,0.12708333333333333,0.04583333333333333,0.20833333333333331,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 11, 'n_positive': 0, 'score': 0.041666666666666664}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
380390.0,0,0,0.17159090909090907,0.09318181818181817,0.25,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
59916.0,0,0,0.15,0.05,0.25,0.0,2,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
395037.0,0,0,0.16325757575757574,0.11666666666666667,0.2215909090909091,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1
67629.0,0,0,0.16136363636363638,0.07272727272727272,0.25,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1
