CAS_NORM,POD_MGKGDAY,PUBCHEM_CID,S_global,S_potency
63-92-3,5.0,5284441,0.8018344123341887,1.5733575027590547
63-92-3,5.0,5284441,0.8018344123341887,1.5733575027590547
57-55-6,2000.0,1030,0.9794943470856,2.852769443285948
57-55-6,2000.0,1030,0.9794943470856,2.852769443285948
57-55-6,2000.0,1030,0.9794943470856,2.852769443285948
148-79-8,6.95,5430,0.9566500827379482,2.077448928503466
148-79-8,6.95,5430,0.9566500827379482,2.077448928503466
148-79-8,6.95,5430,0.9566500827379482,2.077448928503466
148-79-8,6.95,5430,0.9566500827379482,2.077448928503466
79-01-6,90.0,6575,0.9724832653538372,2.488453947877547
79-01-6,90.0,6575,0.9724832653538372,2.488453947877547
133-07-3,9.0,8607,0.7669730350039989,1.805854291425394
133-07-3,9.0,8607,0.7669730350039989,1.805854291425394
52-68-6,13.4,5853,0.8817169870327254,2.119359449690097
52-68-6,13.4,5853,0.8817169870327254,2.119359449690097
52-68-6,13.4,5853,0.8817169870327254,2.119359449690097
52-68-6,13.4,5853,0.8817169870327254,2.119359449690097
78-42-2,500.0,6537,0.9617793653047828,2.268939660868622
78-42-2,500.0,6537,0.9617793653047828,2.268939660868622
17924-92-4,1.25,5281576,0.8177338892928175,1.9586844260590957
17924-92-4,1.25,5281576,0.8177338892928175,1.9586844260590957
78-83-1,0.5,6560,0.9266045694157315,2.550220091627758
99-97-8,6.0,7471,0.9128847897842218,2.2913013506144395
99-97-8,6.0,7471,0.9128847897842218,2.2913013506144395
100-02-7,400.0,980,0.9217258308201706,1.8832198434570144
100-02-7,400.0,980,0.9217258308201706,1.8832198434570144
119-61-9,6.445,3102,0.9625898205093264,2.230915677875791
119-61-9,6.445,3102,0.9625898205093264,2.230915677875791
119-61-9,6.445,3102,0.9625898205093264,2.230915677875791
119-61-9,6.445,3102,0.9625898205093264,2.230915677875791
120-82-1,20.0,13,0.965741964323707,2.580998761705479
120-82-1,20.0,13,0.965741964323707,2.580998761705479
298-04-4,0.038,3118,0.9345998776388464,2.4727137360480542
298-04-4,0.038,3118,0.9345998776388464,2.4727137360480542
169590-42-5,80.0,2662,0.7208144915144802,1.5864088183443108
169590-42-5,80.0,2662,0.7208144915144802,1.5864088183443108
169590-42-5,80.0,2662,0.7208144915144802,1.5864088183443108
169590-42-5,80.0,2662,0.7208144915144802,1.5864088183443108
50-53-3,3.0,2726,0.8137508855873917,2.05316822782735
50-53-3,3.0,2726,0.8137508855873917,2.05316822782735
7481-89-2,500.0,24066,0.970728102553946,2.6331941605149027
7481-89-2,500.0,24066,0.970728102553946,2.6331941605149027
7481-89-2,500.0,24066,0.970728102553946,2.6331941605149027
7481-89-2,500.0,24066,0.970728102553946,2.6331941605149027
25057-89-0,9.0,2328,0.9843601850078976,2.102243184572239
25057-89-0,9.0,2328,0.9843601850078976,2.102243184572239
1861-32-1,10.0,2943,0.9446012520381322,1.9361814933192043
1861-32-1,10.0,2943,0.9446012520381322,1.9361814933192043
39515-41-8,5.0,47326,0.8515797167063349,1.823124730503984
39515-41-8,5.0,47326,0.8515797167063349,1.823124730503984
1929-82-4,0.0,16004,0.9805155891869084,2.4404073693277906
1929-82-4,0.0,16004,0.9805155891869084,2.4404073693277906
29232-93-7,8.3,34526,0.9106048825397696,2.080570054317881
26471-62-5,0.001,11443,0.9429872754809346,1.9303217406949496
82097-50-5,2.5,73282,0.9866839579477638,2.311525826995617
108-42-9,10.0,7932,0.9870419633471932,2.722476793485676
108-42-9,10.0,7932,0.9870419633471932,2.722476793485676
2008-39-1,50.0,16180,0.9785322374138165,2.050865912227897
79-14-1,300.0,757,0.9620215342360678,2.3994188603499595
51200-87-4,10.0,62010,0.9776660844902352,2.135359702606858
88-04-0,213.0,2723,0.9601770222698106,2.298053576078391
88-04-0,213.0,2723,0.9601770222698106,2.298053576078391
88-04-0,213.0,2723,0.9601770222698106,2.298053576078391
55219-65-3,15.0,41368,0.9414387734462126,1.9743512600704705
55335-06-3,2.5,41428,0.9650707891092316,1.96237624216679
131860-33-8,0.0,3034285,0.8053351579843618,1.8595802495506817
94361-06-5,1.4,86132,0.900621576761511,2.089290655118534
51338-27-3,0.3,39985,0.8591235266465082,1.9129920631669195
51707-55-2,0.0,40087,0.8142835446812968,1.9086345943458085
131983-72-7,0.2,86233,0.9685650749575194,2.0167244356871947
119168-77-3,0.21,86354,0.6838782904442413,2.3434206552586643
119515-38-7,50.0,125098,0.9863159397201622,2.420614851837108
135410-20-7,7.1,213021,0.9840716379024538,2.3015315617174905
13684-56-5,3.18,24743,0.9532322743447114,1.9477723341760875
210631-68-8,0.4,11302979,0.9730666844276876,2.336884978105577
219714-96-2,30.0,11784975,0.968266254442331,2.2527941891340744
15165-67-0,59.0,119435,0.9811201839017176,2.4220106910145143
79241-46-6,0.5,3033674,0.9051196640105456,2.2777732030387563
98886-44-3,0.039,91758,0.9618051983618022,2.491889223405491
51229-78-8,4.57,6435993,0.8924935089992193,1.5677226608488355
1007-28-9,18.0,13878,0.9780134427885908,2.216974356756088
116-06-3,0.1,2086,0.9564291081260744,2.625163107633472
116-06-3,0.1,2086,0.9564291081260744,2.625163107633472
NOCAS_47248,30.0,9865514,0.8907316556780642,1.995978097865913
402910-27-4,4.0,9969177,0.8266545321785422,1.6979732407896009
668981-02-0,30.0,9949821,0.8795046044726382,1.8335576153948725
313994-79-5,100.0,5481119,0.87639541256266,1.836274562073421
725228-45-5,40.0,9801235,0.6640896994282526,1.5370989085841855
862243-29-6,200.0,24798733,0.9833941026797622,2.464922265604745
NOCAS_47379,30.0,60196408,0.6368159323720677,1.937918308962782
98-07-7,0.25,7367,0.9474197019492452,2.19572955444652
98-07-7,0.25,7367,0.9474197019492452,2.19572955444652
10043-35-3,14.3,7628,0.9799585705681074,2.42249989980217
10043-35-3,14.3,7628,0.9799585705681074,2.42249989980217
10043-35-3,14.3,7628,0.9799585705681074,2.42249989980217
75-27-4,25.0,6359,0.976299085485812,2.764500005098294
98-54-4,3590.0,7393,0.9406961642985224,1.957690159259768
98-54-4,3590.0,7393,0.9406961642985224,1.957690159259768
98-54-4,3590.0,7393,0.9406961642985224,1.957690159259768
98-54-4,3590.0,7393,0.9406961642985224,1.957690159259768
120-71-8,250.0,8445,0.9810292245610804,2.0444948691761087
120-71-8,250.0,8445,0.9810292245610804,2.0444948691761087
106-46-7,1.25,4685,0.9834384885080102,2.600571093984189
106-46-7,1.25,4685,0.9834384885080102,2.600571093984189
106-46-7,1.25,4685,0.9834384885080102,2.600571093984189
75-34-3,382.0,6365,0.9658369686432952,2.1477046452936923
120-83-2,33.4,8449,0.968325958697366,2.170887198982345
120-83-2,33.4,8449,0.968325958697366,2.170887198982345
57-14-7,1.41,5976,0.9902326602216048,2.4195664767915197
