,feature,importance
889,FP_0889,0.0002659127762584136
809,FP_0809,0.00026377007346877797
1583,FP_1583,0.0002621585878079026
906,FP_0906,0.00026186804837385007
1480,FP_1480,0.0002590807476679287
679,FP_0679,0.0002582816169620898
1530,FP_1530,0.0002578421452459553
1689,FP_1689,0.00025495736615248143
118,FP_0118,0.00025421241909758137
1701,FP_1701,0.0002539150488114424
2133,UndefinedBondStereoCount__dup2,0.0002537099474860416
430,FP_0430,0.0002534137458432589
1096,FP_1096,0.00025196852891924454
184,FP_0184,0.00025028612917040637
191,FP_0191,0.00025005931938937206
1353,FP_1353,0.0002495586718903667
740,FP_0740,0.00024948388474778355
573,FP_0573,0.00024942619816476224
1459,FP_1459,0.00024917600930572333
419,FP_0419,0.000248806968118867
1332,FP_1332,0.000247828711818097
978,FP_0978,0.0002468339894645764
1234,FP_1234,0.00024422370743987297
502,FP_0502,0.00024371567949009503
2,FP_0002,0.00024359774900000462
1070,FP_1070,0.0002434691177240024
1126,FP_1126,0.0002432682268170637
1816,FP_1816,0.00024214261858098514
893,FP_0893,0.00024203488227632976
1700,FP_1700,0.00023972818843303066
1535,FP_1535,0.000238030316866226
67,FP_0067,0.0002367446985842021
1424,FP_1424,0.00023596745081371078
1802,FP_1802,0.00023593671266802451
1176,FP_1176,0.0002356451137468678
736,FP_0736,0.00023517915209270897
1292,FP_1292,0.00023397192873390898
1431,FP_1431,0.00023376870009964864
1977,FP_1977,0.0002330149115732504
1138,FP_1138,0.00023293343498224564
1635,FP_1635,0.00023263859667685044
33,FP_0033,0.00023239147933084135
1287,FP_1287,0.00023199036509108001
1876,FP_1876,0.00023060742730956642
849,FP_0849,0.00023013935269980857
622,FP_0622,0.00022941899381089304
567,FP_0567,0.00022940537469760833
525,FP_0525,0.00022862464900442382
1609,FP_1609,0.00022802727619057573
1498,FP_1498,0.00022761875002168028
1290,FP_1290,0.00022684727132862143
592,FP_0592,0.0002266136506625241
885,FP_0885,0.00022529164728192697
235,FP_0235,0.00022452448207112348
673,FP_0673,0.00022319344524687114
1523,FP_1523,0.00022289924618380062
703,FP_0703,0.0002228535750742925
959,FP_0959,0.00022231962542416467
534,FP_0534,0.0002216774652759258
1464,FP_1464,0.00022159279466186504
664,FP_0664,0.00022111362703026148
1387,FP_1387,0.00022060629428825764
1853,FP_1853,0.00022018439633113163
1295,FP_1295,0.00021996975418853273
698,FP_0698,0.0002195289686223301
687,FP_0687,0.000218571566956628
1154,FP_1154,0.00021778984812105732
930,FP_0930,0.00021704335327123842
790,FP_0790,0.00021667535491830955
94,FP_0094,0.00021643072905410155
1280,FP_1280,0.0002162918729755935
1370,FP_1370,0.00021438657877781049
833,FP_0833,0.00021410627123997334
843,FP_0843,0.00021409053252868405
