chid,n_tested,n_positive,S_c,ci_lower,ci_upper,raw_rate,n_mechanisms,mechanism_details,tcpl_binary_compliant,tcpl_ternary_compliant,S_global_raw,S_potency_raw,S_global_flipped,S_potency_flipped,S_improved,S_ensemble,tcpl_binary_improved,tcpl_ternary_improved
59919.0,0,0,0.1770833333333333,0.1354166666666666,0.2291666666666666,0.0,4,"{'NEURO': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'GENERAL': {'n_tested': 11, 'n_positive': 1, 'score': 0.125}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.1770833333333333,0.1770833333333333,1,1
382620.0,0,0,0.3402777777777777,0.0833333333333333,0.75,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 0, 'score': 0.08333333333333333}, 'GENERAL': {'n_tested': 7, 'n_positive': 1, 'score': 0.1875}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,,,,,0.3402777777777777,0.3402777777777777,1,2
27831.0,0,0,0.225,0.075,0.4,0.0,4,"{'GENERAL': {'n_tested': 9, 'n_positive': 0, 'score': 0.05}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 2, 'n_positive': 1, 'score': 0.5}}",1,1,,,,,0.225,0.225,1,1
892442.0,0,0,0.151010101010101,0.1363636363636363,0.1666666666666666,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 10, 'n_positive': 1, 'score': 0.13636363636363635}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.151010101010101,0.151010101010101,1,0
44969.0,0,0,0.3555555555555555,0.15,0.75,0.0,3,"{'NEURO': {'n_tested': 9, 'n_positive': 1, 'score': 0.15}, 'GENERAL': {'n_tested': 8, 'n_positive': 1, 'score': 0.16666666666666666}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,,,,,0.3555555555555555,0.3555555555555555,1,2
59832.0,0,0,0.404040404040404,0.0454545454545454,0.75,0.0,3,"{'NEURO': {'n_tested': 5, 'n_positive': 2, 'score': 0.4166666666666667}, 'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'NR': {'n_tested': 1, 'n_positive': 1, 'score': 0.75}}",1,1,,,,,0.404040404040404,0.404040404040404,1,2
27140.0,0,0,0.2670454545454545,0.25,0.3011363636363636,0.0,4,"{'NEURO': {'n_tested': 9, 'n_positive': 2, 'score': 0.25}, 'GENERAL': {'n_tested': 10, 'n_positive': 3, 'score': 0.3181818181818182}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,2,,,,,0.2670454545454545,0.2670454545454545,1,2
59927.0,0,0,0.190530303030303,0.0757575757575757,0.275,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 1, 'score': 0.3}, 'NR': {'n_tested': 2, 'n_positive': 0, 'score': 0.16666666666666666}}",1,1,,,,,0.190530303030303,0.190530303030303,1,1
37708.0,0,0,0.2522785039941903,0.085112563543936,0.5049019607843138,0.0,6,"{'GENERAL': {'n_tested': 107, 'n_positive': 5, 'score': 0.05092592592592592}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 220, 'n_positive': 6, 'score': 0.029411764705882353}, 'MET': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'SR': {'n_tested': 2, 'n_positive': 2, 'score': 0.8333333333333334}}",1,1,,,,,0.2522785039941903,0.2522785039941903,1,1
381090.0,0,0,0.1613636363636363,0.0727272727272727,0.25,0.0,4,"{'GENERAL': {'n_tested': 10, 'n_positive': 0, 'score': 0.045454545454545456}, 'CYTO': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}, 'NEURO': {'n_tested': 4, 'n_positive': 0, 'score': 0.1}, 'NR': {'n_tested': 1, 'n_positive': 0, 'score': 0.25}}",1,1,,,,,0.1613636363636363,0.1613636363636363,1,0
