chid,casn,dsstox_substance_id,casn_normalized,PUBCHEM_CID
20221.0,98-54-4,DTXSID1020221,98-54-4,7393.0
26997.0,123-11-5,DTXSID2026997,123-11-5,
47257.0,127308-82-1,DTXSID9047257,127308-82-1,
41274.0,941-69-5,DTXSID0041274,941-69-5,
41682.0,115-39-9,DTXSID6041682,115-39-9,
41790.0,106-23-0,DTXSID3041790,106-23-0,
27899.0,26447-10-9,DTXSID1027899,26447-10-9,
47346.0,NOCAS_47346,DTXSID3047346,,
20887.0,91-62-3,DTXSID3020887,91-62-3,7059.0
36515.0,57-85-2,DTXSID9036515,57-85-2,5995.0
25505.0,60-33-3,DTXSID2025505,60-33-3,
44175.0,8000-34-8,DTXSID8044175,8000-34-8,
42415.0,657-84-1,DTXSID9042415,657-84-1,
23645.0,60-54-8,DTXSID7023645,60-54-8,54675776.0
20123.0,103-33-3,DTXSID8020123,103-33-3,2272.0
24466.0,150-13-0,DTXSID6024466,150-13-0,
48198.0,40649-36-3,DTXSID9048198,40649-36-3,
48184.0,2919-66-6,DTXSID5048184,2919-66-6,
41368.0,5394-36-5,DTXSID9041368,5394-36-5,
20663.0,56-81-5,DTXSID9020663,56-81-5,753.0
34803.0,219714-96-2,DTXSID0034803,219714-96-2,11784975.0
23846.0,30560-19-1,DTXSID8023846,30560-19-1,1982.0
47540.0,6344-67-8,DTXSID9047540,6344-67-8,
20220.0,1948-33-0,DTXSID6020220,1948-33-0,16043.0
21976.0,122-99-6,DTXSID9021976,122-99-6,
26488.0,79-92-5,DTXSID8026488,79-92-5,
26602.0,96-76-4,DTXSID2026602,96-76-4,
25886.0,121-39-1,DTXSID8025886,121-39-1,
29304.0,11099-07-3,DTXSID9029304,11099-07-3,
26694.0,103-09-3,DTXSID8026694,103-09-3,
20087.0,4180-23-8,DTXSID9020087,4180-23-8,637563.0
23792.0,99-99-0,DTXSID5023792,99-99-0,7473.0
20930.0,54-11-5,DTXSID1020930,54-11-5,89594.0
21356.0,52225-20-4,DTXSID3021356,52225-20-4,
24882.0,66-81-9,DTXSID6024882,66-81-9,
44865.0,18924-66-8,DTXSID5044865,18924-66-8,
27997.0,37764-25-3,DTXSID4027997,37764-25-3,
25080.0,108-83-8,DTXSID4025080,108-83-8,
20108.0,50-78-2,DTXSID5020108,50-78-2,2244.0
35160.0,127-41-3,DTXSID0035160,127-41-3,
20068.0,117-79-3,DTXSID6020068,117-79-3,8341.0
20352.0,135-20-6,DTXSID1020352,135-20-6,
22109.0,706-14-9,DTXSID4022109,706-14-9,
21961.0,119-61-9,DTXSID0021961,119-61-9,3102.0
21126.0,92-84-2,DTXSID5021126,92-84-2,
41422.0,87-01-4,DTXSID6041422,87-01-4,
21554.0,334-48-5,DTXSID9021554,334-48-5,
20597.0,107-21-1,DTXSID8020597,107-21-1,174.0
20151.0,140-11-4,DTXSID0020151,140-11-4,8785.0
38887.0,2321-07-5,DTXSID0038887,2321-07-5,
41978.0,101463-69-8,DTXSID1041978,101463-69-8,
47270.0,253450-09-8,DTXSID2047270,253450-09-8,156328.0
41847.0,109-43-3,DTXSID1041847,109-43-3,
25023.0,77-73-6,DTXSID5025023,77-73-6,
23652.0,154-42-7,DTXSID6023652,154-42-7,
32497.0,55335-06-3,DTXSID0032497,55335-06-3,41428.0
22421.0,73-31-4,DTXSID1022421,73-31-4,
20507.0,121-69-7,DTXSID2020507,121-69-7,949.0
20425.0,117-80-6,DTXSID7020425,117-80-6,
20510.0,57-97-6,DTXSID1020510,57-97-6,
42390.0,3811-73-2,DTXSID3042390,3811-73-2,
42130.0,587-85-9,DTXSID3042130,587-85-9,
34972.0,89-83-8,DTXSID6034972,89-83-8,
41646.0,6359-90-6,DTXSID0041646,6359-90-6,
47362.0,NOCAS_47362,DTXSID1047362,,
33161.0,1646-87-3,DTXSID1033161,1646-87-3,
26922.0,112-60-7,DTXSID9026922,112-60-7,
21643.0,124-13-0,DTXSID3021643,124-13-0,
24086.0,563-12-2,DTXSID2024086,563-12-2,3286.0
32549.0,126833-17-8,DTXSID3032549,126833-17-8,213031.0
34503.0,122008-85-9,DTXSID1034503,122008-85-9,180089.0
32523.0,2634-33-5,DTXSID5032523,2634-33-5,17520.0
41484.0,3681-71-8,DTXSID0041484,3681-71-8,
21553.0,112-31-2,DTXSID4021553,112-31-2,
47342.0,NOCAS_47342,DTXSID3047342,,
47138.0,98-06-6,DTXSID3047138,98-06-6,
27258.0,625-55-8,DTXSID2027258,625-55-8,
41188.0,705-60-2,DTXSID1041188,705-60-2,
41703.0,25638-17-9,DTXSID2041703,25638-17-9,
21386.0,88-06-2,DTXSID5021386,88-06-2,6914.0
24598.0,118-58-1,DTXSID1024598,118-58-1,
23996.0,108-91-8,DTXSID1023996,108-91-8,
20286.0,95-74-9,DTXSID0020286,95-74-9,
23890.0,3337-71-1,DTXSID8023890,3337-71-1,18752.0
41440.0,2445-77-4,DTXSID4041440,2445-77-4,
40721.0,92-68-2,DTXSID8040721,92-68-2,
29110.0,78-69-3,DTXSID7029110,78-69-3,
22934.0,20830-75-5,DTXSID5022934,20830-75-5,
27479.0,2440-22-4,DTXSID1027479,2440-22-4,
21520.0,143-22-6,DTXSID7021520,143-22-6,
21894.0,108-93-0,DTXSID4021894,108-93-0,
20462.0,111-46-6,DTXSID8020462,111-46-6,8117.0
20890.0,56-04-2,DTXSID2020890,56-04-2,
34456.0,87818-31-3,DTXSID3034456,87818-31-3,16004722.0
21940.0,111-87-5,DTXSID7021940,111-87-5,
20069.0,97-56-3,DTXSID1020069,97-56-3,
27983.0,34590-94-8,DTXSID0027983,34590-94-8,
32518.0,1192-52-5,DTXSID6032518,1192-52-5,
34929.0,283594-90-1,DTXSID1034929,283594-90-1,9907412.0
31380.0,496-46-8,DTXSID6031380,496-46-8,
24621.0,111-96-6,DTXSID1024621,111-96-6,8150.0
21922.0,110-73-6,DTXSID9021922,110-73-6,
21240.0,127-47-9,DTXSID6021240,127-47-9,638034.0
20921.0,91-59-8,DTXSID2020921,91-59-8,7057.0
20093.0,20265-97-8,DTXSID3020093,20265-97-8,
47291.0,NOCAS_47291,DTXSID5047291,,
38700.0,97-52-9,DTXSID0038700,97-52-9,
21094.0,101-80-4,DTXSID0021094,101-80-4,7579.0
22187.0,2416-94-6,DTXSID6022187,2416-94-6,
20143.0,65-85-0,DTXSID6020143,65-85-0,243.0
20137.0,92-87-5,DTXSID2020137,92-87-5,
24721.0,464-49-3,DTXSID4024721,464-49-3,
48202.0,611-70-1,DTXSID6048202,611-70-1,
26235.0,552-30-7,DTXSID7026235,552-30-7,
25300.0,1241-94-7,DTXSID1025300,1241-94-7,
