Sample_CID,AtomNum,Weight,HOMO,HOMO_number,LUMO,HOMO_LUMO_Gap,ODI_HOMO_1,ODI_HOMO,ODI_LUMO,ODI_LUMO_Add1,ODI_Mean,ODI_Std,Farthest_Distance,Mol_Radius,Mol_Size_Short,Mol_Size_2,Mol_Size_L,Length_Ratio,Len_Div_Diameter,MPP,SDP,Dipole_Moment,Quadrupole_Moment,Octopole_Moment,Volume,Density,ESPmin,ESPmax,Overall_Surface_Area,Pos_Surface_Area,Neg_Surface_Area,Overall_Average,Pos_Average,Neg_Average,Overall_Variance,Nu,Pi,MPI,Nonpolar_Area,Polar_Area,ALIEmin,ALIEmax,ALIE_Ave,ALIE_Var,LEAmin,LEAmax,LEA_Ave,LEA_Var,XLogP,TPSA,Complexity,HBondDonorCount,HBondAcceptorCount,RotatableBondCount,HeavyAtomCount,AtomStereoCount,DefinedAtomStereoCount,UndefinedAtomStereoCount,BondStereoCount,DefinedBondStereoCount,UndefinedBondStereoCount,CovalentUnitCount,class_x,y
107720,53,527.83527,-0.293065,135,-0.001622,0.291443,9.04,8.27,8.42,6.97,8.175,0.753209798,3,9.638,8.706,11.7,19.068,0.483052136,0.98920938,1.411428,6.223268,7.5996,29.815914,499.7031,3525.45334,1.6778,-40.25075,31.22827,1705.43933,805.66157,899.77776,-0.00056816,0.02126461,-0.02011722,0.00040318,0.2382064,0.02063214,0.56216697,44.99,55.01,11.81208,19.42058,0.53408997,0.00282897,-66.0366,-14.8018,-1.2233124,0.161489,4.8,107,912,0,11,5,36,1,1,0,0,0,0,1,1,24
21954,12,112.08692,-0.306916,29,0.006043,0.312959,28.82,19.46,15.29,15.53,19.775,5.478286685,2,4.177,3.401,6.661,8.355,0.453656947,1.000119703,0.00075,0.002629,2.576087,26.823294,19.1505,812.00052,1.5468,-43.7326,77.85613,472.40375,289.7419,182.66185,0.00456064,0.03459342,-0.04307796,0.0014573,0.20815197,0.03695769,1.03060656,27.11,72.89,11.68851,19.77115,0.52835762,0.00334992,-45.79129,-19.05713,-1.21582,0.068087,-0.8,58.2,143,2,2,0,8,0,0,0,0,0,0,1,1,1
325003,69,518.57842,-0.18478,138,0.062224,0.247004,20.94,9.2,11.42,14.06,13.905,4.410994786,67,10.472,9.205,9.446,20.792,0.52714043,0.992742552,1.494892,5.611824,6.846585,69.45321,1569.8205,3756.23723,1.5471,-61.91732,80.77113,1721.41382,797.79598,923.61784,-0.00158362,0.03549368,-0.03360999,0.00149704,0.24637611,0.03439507,0.93832998,31.05,68.95,8.78375,18.751,0.50375368,0.00307814,-52.18374,-19.9839,-1.1768741,0.066831,2.4,228,499,10,12,13,35,2,0,2,0,0,0,2,1,6
7908,22,101.19023,-0.301483,29,0.15661,0.458093,9.69,38.13,5.48,6.07,14.8425,13.5413171,20,4.371,5.874,6.239,8.506,0.412532131,0.973003889,0.92017,3.295956,1.678085,4.485815,30.5792,1145.92933,0.9895,-33.3359,26.96824,599.89484,355.42854,244.4663,0.00183452,0.01076768,-0.01115336,0.00021795,0.24498303,0.01072917,0.29728029,77.38,22.62,10.43793,16.1914,0.49488196,0.00079307,-41.14079,-19.96842,-0.9379335,0.014257,1.4,26,41,1,1,2,7,1,0,1,0,0,0,1,0,0
16051951,62,461.44433,-0.153542,123,0.053799,0.207342,11.15,14.7,6.77,4.83,9.3625,3.838902024,55,8.756,7.932,11.558,17.48,0.472815797,0.998172682,1.319734,5.155599,5.561746,46.630913,654.1623,3461.79238,1.4937,-75.69655,66.2848,1535.08102,907.86664,627.21438,-0.00060619,0.02075978,-0.03153255,0.00108932,0.20066016,0.0252776,0.68467649,44.17,55.83,5.44725,18.03311,0.48892238,0.00403461,-54.90973,-16.71373,-1.0214661,0.066162,2.4,128,502,5,7,7,28,9,9,0,0,0,0,2,0,0
3705,38,422.3894,-0.280044,108,-0.06553,0.214514,7.11,8.72,9.23,6.26,7.83,1.197434758,9,9.367,6.414,8.682,18.585,0.55179478,0.992046546,0.594419,3.542974,3.051854,106.850934,779.2096,2713.55133,1.7443,-40.73761,85.08786,1330.24115,798.39657,531.84458,0.00773257,0.03494896,-0.03312424,0.00116066,0.21595053,0.03314387,0.93115778,25.05,74.95,11.37052,19.41845,0.52674402,0.00268418,-46.96711,-18.58574,-1.1862934,0.056958,0.2,191,904,4,9,3,28,0,0,0,0,0,0,1,1,2
443951,53,340.46328,-0.264474,92,0.055126,0.3196,9.94,10.59,11.06,12.25,10.96,0.844304447,50,8.013,8.538,10.881,15.97,0.451270169,0.996505678,1.377592,5.99844,6.97251,22.673185,533.7907,2964.44863,1.287,-57.65777,54.79394,1364.99472,734.50281,630.49191,-0.0022132,0.01643321,-0.02393567,0.00067358,0.20657573,0.02014628,0.54146838,52.69,47.31,9.79381,17.94724,0.49828067,0.00189045,-46.76784,-18.73335,-1.0421313,0.039944,2.5,51.4,494,2,2,3,25,3,3,0,0,0,0,1,1,5
8797,21,150.17484,-0.313631,40,0.059999,0.37363,18.32,13.57,13,13.47,14.59,2.164243517,20,5.753,5.33,6.711,11.426,0.486896493,0.993047106,0.602165,2.313305,1.763052,17.10573,66.4087,1314.74688,1.28,-47.113,21.34293,715.6165,430.69092,284.92559,-0.00174402,0.01491467,-0.02692513,0.00046487,0.11023762,0.02008048,0.53597404,45.62,54.38,11.43058,16.49637,0.51413744,0.00143583,-46.84458,-19.44585,-1.0658395,0.058667,2.1,26.3,135,0,2,2,11,0,0,0,0,0,0,1,1,1
20841747,19,156.13956,-0.095805,41,0.107434,0.203239,14,7.48,7.34,14.93,10.9375,3.543136852,17,4.082,4.156,6.743,8.086,0.425915196,0.99044586,0.35788,1.673601,7.117637,6.744384,77.6723,1029.88924,1.6989,-49.56587,71.03972,550.05925,319.23701,230.82223,0.00340973,0.03215718,-0.03634923,0.00121397,0.24243205,0.03347684,0.92290927,28.71,71.29,3.70186,22.06824,0.3689092,0.01665897,-74.55896,-19.88295,-1.2405448,0.182605,2.4,90.5,64,1,3,0,11,0,0,0,0,0,0,2,1,1
31263,19,130.14204,-0.344343,35,0.039493,0.383837,21.9,24.14,17.31,14.71,19.515,3.709073334,18,5.678,4.214,5.562,11.357,0.537405953,1.000088059,0.576707,1.803991,5.452193,8.49902,56.9329,1137.99293,1.2815,-62.92122,24.28662,648.63856,453.07438,195.56418,0.00133425,0.0194413,-0.04061537,0.00089837,0.11047299,0.02531648,0.7027413,36.81,63.19,13.17708,16.82116,0.52705597,0.00094027,-47.34326,-20.78254,-1.0639369,0.063328,0.8,43.4,104,0,3,4,9,0,0,0,0,0,0,1,0,0
